,Rooms,Type,Price,Method,SellerG,Sold_Year,Distance,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount
46,1,u,423500.0,S,hockingstuart,2016,2.5,1.0,0.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
48,1,u,426000.0,SP,Greg,2016,2.5,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
49,3,h,1447500.0,PI,Nelson,2016,2.5,3.0,1.0,166.0,Yarra City Council,Northern Metropolitan,4019.0
50,1,u,457000.0,S,Jellis,2016,2.5,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
51,2,h,1135000.0,S,Nelson,2016,2.5,2.0,2.0,98.0,Yarra City Council,Northern Metropolitan,4019.0
52,2,h,700000.0,S,Biggin,2016,2.5,1.0,1.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
53,4,h,1542000.0,S,Collins,2016,2.5,3.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
54,3,t,962000.0,SP,Jellis,2017,2.5,2.0,2.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
55,3,h,1290000.0,S,Biggin,2017,2.5,2.0,2.0,147.0,Yarra City Council,Northern Metropolitan,4019.0
56,3,h,1290000.0,S,Biggin,2017,2.5,1.0,1.0,168.0,Yarra City Council,Northern Metropolitan,4019.0
57,1,u,470000.0,S,Nelson,2016,2.5,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
58,2,h,1180000.0,S,Jellis,2016,2.5,1.0,0.0,162.0,Yarra City Council,Northern Metropolitan,4019.0
59,3,h,1195000.0,SP,Jellis,2016,2.5,2.0,1.0,120.0,Yarra City Council,Northern Metropolitan,4019.0
61,2,h,1012500.0,S,Nelson,2016,2.5,1.0,0.0,182.0,Yarra City Council,Northern Metropolitan,4019.0
62,2,u,970000.0,SP,Biggin,2016,2.5,1.0,1.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
63,2,h,1030000.0,S,Biggin,2016,2.5,1.0,1.0,172.0,Yarra City Council,Northern Metropolitan,4019.0
65,3,h,927000.0,S,Biggin,2016,2.5,2.0,2.0,593.4889333778223,Yarra City Council,Northern Metropolitan,4019.0
66,3,t,840000.0,PI,Nelson,2016,13.5,2.0,1.0,303.0,Moonee Valley City Council,Western Metropolitan,3464.0
67,3,h,730000.0,VB,Nelson,2016,13.5,2.0,1.0,0.0,Moonee Valley City Council,Western Metropolitan,3464.0
68,3,h,770000.0,SP,Nelson,2017,13.5,2.0,1.0,0.0,Moonee Valley City Council,Western Metropolitan,3464.0
70,2,h,603000.0,S,Nelson,2017,13.5,1.0,1.0,272.0,Moonee Valley City Council,Western Metropolitan,3464.0
71,3,t,700000.0,S,Brad,2017,13.5,2.0,2.0,239.0,Moonee Valley City Council,Western Metropolitan,3464.0
72,3,h,600000.0,S,Maddison,2017,13.5,1.0,1.0,290.0,Moonee Valley City Council,Western Metropolitan,3464.0
73,2,u,500000.0,VB,Barry,2017,13.5,1.0,1.0,168.0,Moonee Valley City Council,Western Metropolitan,3464.0
74,2,t,420000.0,VB,Barry,2016,13.5,1.0,1.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
75,3,t,500000.0,VB,Nelson,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
76,5,h,1035000.0,S,Airport,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
77,4,h,960000.0,S,Barry,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
78,4,h,960000.0,S,Nelson,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
79,3,h,720000.0,S,Barry,2016,13.5,1.0,1.0,620.0,Moonee Valley City Council,Western Metropolitan,3464.0
80,4,h,785000.0,S,Considine,2016,13.5,1.0,2.0,597.0,Moonee Valley City Council,Western Metropolitan,3464.0
81,6,h,725000.0,SP,Barry,2016,13.5,3.0,2.0,976.0,Moonee Valley City Council,Western Metropolitan,3464.0
82,2,t,450000.0,S,Barry,2016,13.5,1.0,1.0,110.0,Moonee Valley City Council,Western Metropolitan,3464.0
83,2,u,515000.0,S,Barry,2016,13.5,1.0,1.0,141.0,Moonee Valley City Council,Western Metropolitan,3464.0
84,3,h,680000.0,VB,Nelson,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
85,2,u,530000.0,S,Nelson,2016,13.5,1.0,1.0,120.0,Moonee Valley City Council,Western Metropolitan,3464.0
86,3,h,895000.0,PI,Rendina,2016,13.5,1.0,6.0,1063.0,Moonee Valley City Council,Western Metropolitan,3464.0
87,3,u,600000.0,VB,Nelson,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
88,3,h,805000.0,S,Nelson,2016,13.5,1.0,1.0,0.0,Moonee Valley City Council,Western Metropolitan,3464.0
89,3,t,760000.0,PI,Barry,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
90,3,u,752000.0,S,Nelson,2017,13.5,1.0,1.0,265.0,Moonee Valley City Council,Western Metropolitan,3464.0
91,3,u,580000.0,VB,Nelson,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
92,3,h,725000.0,PI,Ray,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
93,4,h,758000.0,S,Jellis,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
94,2,u,440000.0,S,Barry,2016,13.5,1.0,1.0,192.0,Moonee Valley City Council,Western Metropolitan,3464.0
95,3,h,970000.0,S,Barry,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
96,5,h,755000.0,PI,Propertyau,2016,13.5,2.0,2.0,596.0,Moonee Valley City Council,Western Metropolitan,3464.0
97,4,h,985000.0,S,Barry,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
98,3,t,700000.0,PI,Brad,2016,13.5,2.0,2.0,165.0,Moonee Valley City Council,Western Metropolitan,3464.0
99,2,u,509500.0,SP,Nelson,2016,13.5,1.0,1.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
100,3,h,830000.0,S,Barry,2016,13.5,1.0,2.0,971.0,Moonee Valley City Council,Western Metropolitan,3464.0
101,2,u,462500.0,S,Barry,2016,13.5,1.0,1.0,164.0,Moonee Valley City Council,Western Metropolitan,3464.0
102,3,h,670000.0,SP,Barry,2016,13.5,2.0,2.0,657.0,Moonee Valley City Council,Western Metropolitan,3464.0
103,2,h,675000.0,S,Barry,2016,13.5,1.0,1.0,612.0,Moonee Valley City Council,Western Metropolitan,3464.0
104,3,h,1042000.0,S,Nelson,2016,13.5,2.0,5.0,612.0,Moonee Valley City Council,Western Metropolitan,3464.0
105,3,h,910000.0,S,McDonald,2016,13.5,1.0,1.0,775.0,Moonee Valley City Council,Western Metropolitan,3464.0
106,4,h,773000.0,S,Brad,2016,13.5,3.0,4.0,531.0,Moonee Valley City Council,Western Metropolitan,3464.0
107,3,h,715000.0,S,Barry,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
108,3,h,810000.0,PI,Barry,2017,13.5,3.0,2.0,555.0,Moonee Valley City Council,Western Metropolitan,3464.0
109,3,h,715000.0,S,Rendina,2017,13.5,2.0,2.0,422.0,Moonee Valley City Council,Western Metropolitan,3464.0
110,3,h,790000.0,S,Nelson,2017,13.5,1.0,3.0,614.0,Moonee Valley City Council,Western Metropolitan,3464.0
111,2,t,460000.0,VB,Nelson,2016,13.5,1.0,1.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
112,3,t,540000.0,SP,Nelson,2016,13.5,2.0,1.0,161.0,Moonee Valley City Council,Western Metropolitan,3464.0
113,3,t,825000.0,SP,Barry,2016,13.5,2.0,1.0,293.0,Moonee Valley City Council,Western Metropolitan,3464.0
114,3,h,685000.0,S,Barry,2016,13.5,1.0,1.0,579.0,Moonee Valley City Council,Western Metropolitan,3464.0
115,3,u,445000.0,S,Brad,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
116,3,h,805000.0,S,Barry,2016,13.5,1.0,1.0,623.0,Moonee Valley City Council,Western Metropolitan,3464.0
117,2,u,510000.0,S,Nelson,2016,13.5,1.0,1.0,141.0,Moonee Valley City Council,Western Metropolitan,3464.0
118,3,h,612000.0,S,Nelson,2016,13.5,2.0,1.0,212.0,Moonee Valley City Council,Western Metropolitan,3464.0
119,3,h,662000.0,S,Brad,2016,13.5,1.0,2.0,612.0,Moonee Valley City Council,Western Metropolitan,3464.0
120,4,h,978000.0,S,Nelson,2016,13.5,3.0,2.0,532.0,Moonee Valley City Council,Western Metropolitan,3464.0
122,3,h,720000.0,PI,Nelson,2017,13.5,1.0,1.0,585.0,Moonee Valley City Council,Western Metropolitan,3464.0
123,2,u,474000.0,PI,Barry,2016,13.5,1.0,1.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
124,2,t,490000.0,SP,Frank,2016,13.5,1.0,1.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
125,3,h,405000.0,S,Ray,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
126,3,t,715000.0,S,Barry,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
127,3,u,671500.0,S,McDonald,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
128,4,h,765000.0,S,Prof.,2016,13.5,1.0,2.0,509.0,Moonee Valley City Council,Western Metropolitan,3464.0
129,4,h,900000.0,S,Harcourts,2016,13.5,2.0,3.0,628.0,Moonee Valley City Council,Western Metropolitan,3464.0
130,3,u,820000.0,S,Nelson,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
131,3,u,650000.0,PI,Nelson,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
132,3,t,552000.0,SP,Nelson,2016,13.5,2.0,2.0,593.4889333778223,Moonee Valley City Council,Western Metropolitan,3464.0
133,2,h,1275000.0,S,hockingstuart,2016,3.3,1.0,0.0,120.0,Port Phillip City Council,Southern Metropolitan,3280.0
134,2,h,1455000.0,S,Thomson,2016,3.3,1.0,0.0,159.0,Port Phillip City Council,Southern Metropolitan,3280.0
135,3,h,2850000.0,PI,Buxton,2017,3.3,2.0,0.0,211.0,Port Phillip City Council,Southern Metropolitan,3280.0
136,3,h,1850000.0,S,Greg,2017,3.3,2.0,0.0,128.0,Port Phillip City Council,Southern Metropolitan,3280.0
138,2,h,1436000.0,S,RT,2017,3.3,1.0,0.0,130.0,Port Phillip City Council,Southern Metropolitan,3280.0
140,2,h,1110000.0,S,Marshall,2016,3.3,1.0,0.0,147.0,Port Phillip City Council,Southern Metropolitan,3280.0
141,2,h,1550000.0,S,Sotheby's,2016,3.3,1.0,1.0,167.0,Port Phillip City Council,Southern Metropolitan,3280.0
142,4,h,2300000.0,S,Marshall,2016,3.3,2.0,1.0,153.0,Port Phillip City Council,Southern Metropolitan,3280.0
144,3,t,1550000.0,VB,Marshall,2016,3.3,2.0,2.0,718.0,Port Phillip City Council,Southern Metropolitan,3280.0
145,3,h,1800000.0,VB,Greg,2016,3.3,2.0,1.0,132.0,Port Phillip City Council,Southern Metropolitan,3280.0
146,3,h,2485000.0,S,Cayzer,2016,3.3,2.0,2.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,3280.0
147,2,h,2120000.0,S,Greg,2016,3.3,1.0,1.0,199.0,Port Phillip City Council,Southern Metropolitan,3280.0
148,3,h,1800000.0,VB,Cayzer,2016,3.3,1.0,1.0,253.0,Port Phillip City Council,Southern Metropolitan,3280.0
149,3,h,1800000.0,S,Marshall,2016,3.3,2.0,1.0,90.0,Port Phillip City Council,Southern Metropolitan,3280.0
151,2,h,1810000.0,PI,Greg,2016,3.3,1.0,0.0,240.0,Port Phillip City Council,Southern Metropolitan,3280.0
152,3,h,2615000.0,S,Cayzer,2016,3.3,2.0,1.0,177.0,Port Phillip City Council,Southern Metropolitan,3280.0
153,5,h,2100000.0,S,Greg,2016,3.3,2.0,1.0,237.0,Port Phillip City Council,Southern Metropolitan,3280.0
154,3,h,1300000.0,S,hockingstuart,2016,3.3,1.0,0.0,129.0,Port Phillip City Council,Southern Metropolitan,3280.0
155,3,h,1370000.0,S,Greg,2016,3.3,2.0,2.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
156,2,h,1000000.0,S,Cayzer,2016,3.3,1.0,0.0,288.0,Port Phillip City Council,Southern Metropolitan,3280.0
158,3,h,2575000.0,S,Greg,2016,3.3,2.0,1.0,228.0,Port Phillip City Council,Southern Metropolitan,3280.0
159,2,h,1322500.0,S,Greg,2016,3.3,1.0,0.0,149.0,Port Phillip City Council,Southern Metropolitan,3280.0
161,2,h,1562500.0,S,Greg,2016,3.3,1.0,0.0,141.0,Port Phillip City Council,Southern Metropolitan,3280.0
162,3,h,2000000.0,VB,RT,2016,3.3,2.0,1.0,211.0,Port Phillip City Council,Southern Metropolitan,3280.0
165,3,h,1900000.0,S,Greg,2017,3.3,1.0,0.0,209.0,Port Phillip City Council,Southern Metropolitan,3280.0
166,3,h,3010000.0,S,Greg,2017,3.3,2.0,0.0,147.0,Port Phillip City Council,Southern Metropolitan,3280.0
168,4,h,2800000.0,VB,Cayzer,2016,3.3,3.0,1.0,327.0,Port Phillip City Council,Southern Metropolitan,3280.0
170,2,u,647000.0,S,Greg,2016,3.3,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
172,3,h,2100000.0,SP,Marshall,2016,3.3,1.0,1.0,120.0,Port Phillip City Council,Southern Metropolitan,3280.0
176,3,h,2000000.0,PI,Marshall,2016,3.3,1.0,1.0,238.0,Port Phillip City Council,Southern Metropolitan,3280.0
177,1,u,442500.0,S,Marshall,2017,3.3,1.0,0.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
178,4,h,4735000.0,S,Marshall,2017,3.3,2.0,1.0,330.0,Port Phillip City Council,Southern Metropolitan,3280.0
179,2,h,1340000.0,S,Greg,2017,3.3,1.0,0.0,136.0,Port Phillip City Council,Southern Metropolitan,3280.0
180,3,h,1801000.0,S,hockingstuart,2017,3.3,1.0,1.0,202.0,Port Phillip City Council,Southern Metropolitan,3280.0
181,3,h,1532000.0,S,Chisholm,2016,3.3,3.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
182,3,h,3755000.0,S,Greg,2016,3.3,2.0,2.0,325.0,Port Phillip City Council,Southern Metropolitan,3280.0
183,4,h,2140000.0,S,Greg,2016,3.3,2.0,1.0,183.0,Port Phillip City Council,Southern Metropolitan,3280.0
184,2,u,1810000.0,PI,Marshall,2016,3.3,1.0,1.0,593.4889333778223,Port Phillip City Council,Southern Metropolitan,3280.0
185,2,h,1750000.0,S,Marshall,2016,3.3,1.0,1.0,162.0,Port Phillip City Council,Southern Metropolitan,3280.0
186,2,h,980000.0,S,Greg,2016,3.3,1.0,0.0,79.0,Port Phillip City Council,Southern Metropolitan,3280.0
190,3,h,2030000.0,S,hockingstuart,2016,3.3,2.0,0.0,152.0,Port Phillip City Council,Southern Metropolitan,3280.0
191,3,h,1740000.0,PI,Marshall,2016,3.3,2.0,2.0,147.0,Port Phillip City Council,Southern Metropolitan,3280.0
192,3,h,2800000.0,VB,Buxton,2016,3.3,3.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
193,1,h,985000.0,S,Marshall,2016,3.3,1.0,0.0,81.0,Port Phillip City Council,Southern Metropolitan,3280.0
195,4,h,2000000.0,S,Brace,2016,6.4,2.0,4.0,853.0,Darebin City Council,Northern Metropolitan,2211.0
196,3,h,1110000.0,S,Jellis,2016,6.4,2.0,2.0,208.0,Darebin City Council,Northern Metropolitan,2211.0
197,3,h,1492000.0,S,Jellis,2017,6.4,2.0,2.0,411.0,Darebin City Council,Northern Metropolitan,2211.0
198,2,u,480000.0,PI,Miles,2016,6.4,1.0,1.0,593.4889333778223,Darebin City Council,Northern Metropolitan,2211.0
200,3,t,1304000.0,SP,Holland,2016,6.4,2.0,2.0,593.4889333778223,Darebin City Council,Northern Metropolitan,2211.0
201,4,h,1717500.0,S,Collins,2016,6.4,2.0,1.0,599.0,Darebin City Council,Northern Metropolitan,2211.0
202,5,h,2840000.0,S,Nelson,2016,6.4,4.0,4.0,809.0,Darebin City Council,Northern Metropolitan,2211.0
204,2,u,525500.0,S,Miles,2016,6.4,1.0,1.0,88.0,Darebin City Council,Northern Metropolitan,2211.0
205,2,t,805000.0,S,Miles,2016,6.4,2.0,3.0,155.0,Darebin City Council,Northern Metropolitan,2211.0
206,2,u,465000.0,S,McGrath,2016,6.4,1.0,1.0,0.0,Darebin City Council,Northern Metropolitan,2211.0
208,3,h,1480000.0,S,Nelson,2016,6.4,2.0,2.0,593.4889333778223,Darebin City Council,Northern Metropolitan,2211.0
209,3,h,2000000.0,PI,hockingstuart,2016,6.4,3.0,2.0,686.0,Darebin City Council,Northern Metropolitan,2211.0
210,3,h,1540000.0,S,Nelson,2016,6.4,1.0,2.0,592.0,Darebin City Council,Northern Metropolitan,2211.0
212,2,u,590000.0,PI,Nelson,2016,6.4,1.0,1.0,593.4889333778223,Darebin City Council,Northern Metropolitan,2211.0
213,2,u,820000.0,S,Nelson,2017,6.4,1.0,1.0,183.0,Darebin City Council,Northern Metropolitan,2211.0
214,4,h,1830000.0,S,Nelson,2016,6.4,2.0,2.0,606.0,Darebin City Council,Northern Metropolitan,2211.0
215,4,h,2100000.0,S,Nelson,2016,6.4,2.0,2.0,575.0,Darebin City Council,Northern Metropolitan,2211.0
216,3,h,865000.0,SP,hockingstuart,2016,6.4,1.0,1.0,180.0,Darebin City Council,Northern Metropolitan,2211.0
217,2,u,390000.0,VB,Nelson,2016,6.4,1.0,1.0,0.0,Darebin City Council,Northern Metropolitan,2211.0
218,2,t,650000.0,SP,Brace,2016,6.4,1.0,0.0,0.0,Darebin City Council,Northern Metropolitan,2211.0
219,2,u,512000.0,S,Love,2017,6.4,1.0,1.0,0.0,Darebin City Council,Northern Metropolitan,2211.0
220,3,h,1361000.0,S,Collins,2017,6.4,2.0,2.0,593.4889333778223,Darebin City Council,Northern Metropolitan,2211.0
222,3,h,1310000.0,S,Jellis,2016,6.4,2.0,2.0,593.4889333778223,Darebin City Council,Northern Metropolitan,2211.0
223,3,h,570000.0,VB,Thomas,2016,6.4,2.0,2.0,593.4889333778223,Darebin City Council,Northern Metropolitan,2211.0
224,3,h,1165000.0,S,Barry,2016,6.4,1.0,2.0,979.0,Darebin City Council,Northern Metropolitan,2211.0
225,2,u,530000.0,S,Jellis,2016,6.4,1.0,1.0,593.4889333778223,Darebin City Council,Northern Metropolitan,2211.0
226,4,h,1900000.0,SP,McGrath,2016,6.4,2.0,2.0,556.0,Darebin City Council,Northern Metropolitan,2211.0
228,3,h,1485000.0,SP,McGrath,2016,6.4,1.0,0.0,597.0,Darebin City Council,Northern Metropolitan,2211.0
229,4,h,1950000.0,S,Jellis,2016,6.4,2.0,3.0,589.0,Darebin City Council,Northern Metropolitan,2211.0
230,3,h,520000.0,VB,Greg,2016,13.8,2.0,1.0,352.0,Hobsons Bay City Council,Western Metropolitan,5301.0
231,5,h,1525000.0,S,Greg,2016,13.8,3.0,3.0,729.0,Hobsons Bay City Council,Western Metropolitan,5301.0
232,2,t,720000.0,S,hockingstuart,2016,13.8,1.0,2.0,292.0,Hobsons Bay City Council,Western Metropolitan,5301.0
233,3,h,1120000.0,S,Barlow,2017,13.8,1.0,2.0,506.0,Hobsons Bay City Council,Western Metropolitan,5301.0
234,4,h,780000.0,PI,Sweeney,2016,13.8,1.0,4.0,655.0,Hobsons Bay City Council,Western Metropolitan,5301.0
235,4,h,1780000.0,SP,Greg,2016,13.8,3.0,6.0,1057.0,Hobsons Bay City Council,Western Metropolitan,5301.0
236,3,u,630000.0,S,Barlow,2016,13.8,1.0,2.0,311.0,Hobsons Bay City Council,Western Metropolitan,5301.0
237,2,u,406000.0,SP,hockingstuart,2016,13.8,1.0,1.0,65.0,Hobsons Bay City Council,Western Metropolitan,5301.0
238,3,h,660000.0,VB,Greg,2016,13.8,1.0,1.0,602.0,Hobsons Bay City Council,Western Metropolitan,5301.0
239,3,h,683500.0,S,Greg,2016,13.8,1.0,1.0,530.0,Hobsons Bay City Council,Western Metropolitan,5301.0
240,2,u,540000.0,VB,hockingstuart,2016,13.8,1.0,1.0,593.4889333778223,Hobsons Bay City Council,Western Metropolitan,5301.0
241,2,u,580000.0,S,Barlow,2016,13.8,1.0,1.0,225.0,Hobsons Bay City Council,Western Metropolitan,5301.0
242,3,h,1335000.0,S,hockingstuart,2016,13.8,1.0,4.0,777.0,Hobsons Bay City Council,Western Metropolitan,5301.0
243,3,t,800000.0,SP,hockingstuart,2016,13.8,2.0,2.0,280.0,Hobsons Bay City Council,Western Metropolitan,5301.0
244,2,u,510000.0,S,Village,2016,13.8,1.0,1.0,127.0,Hobsons Bay City Council,Western Metropolitan,5301.0
245,4,h,1070000.0,S,Barlow,2016,13.8,2.0,2.0,695.0,Hobsons Bay City Council,Western Metropolitan,5301.0
246,2,u,425000.0,S,hockingstuart,2016,13.8,1.0,2.0,115.0,Hobsons Bay City Council,Western Metropolitan,5301.0
247,3,u,605000.0,S,Jas,2016,13.8,2.0,2.0,230.0,Hobsons Bay City Council,Western Metropolitan,5301.0
248,3,t,705000.0,S,hockingstuart,2017,13.8,2.0,2.0,197.0,Hobsons Bay City Council,Western Metropolitan,5301.0
249,2,u,391000.0,SP,Greg,2017,13.8,1.0,1.0,0.0,Hobsons Bay City Council,Western Metropolitan,5301.0
250,2,u,440000.0,SP,hockingstuart,2017,13.8,1.0,1.0,0.0,Hobsons Bay City Council,Western Metropolitan,5301.0
251,4,h,845000.0,S,hockingstuart,2017,13.8,1.0,2.0,745.0,Hobsons Bay City Council,Western Metropolitan,5301.0
252,3,h,766000.0,S,Williams,2017,13.8,2.0,2.0,593.4889333778223,Hobsons Bay City Council,Western Metropolitan,5301.0
253,3,t,743000.0,SP,Gunn&Co,2016,13.8,2.0,2.0,211.0,Hobsons Bay City Council,Western Metropolitan,5301.0
254,3,t,650000.0,SP,Williams,2016,13.8,2.0,2.0,593.4889333778223,Hobsons Bay City Council,Western Metropolitan,5301.0
255,3,u,730000.0,SP,Barlow,2016,13.8,2.0,1.0,69.0,Hobsons Bay City Council,Western Metropolitan,5301.0
256,3,t,916500.0,S,hockingstuart,2016,13.8,2.0,2.0,593.4889333778223,Hobsons Bay City Council,Western Metropolitan,5301.0
257,3,h,635000.0,S,Sweeney,2016,13.8,1.0,4.0,625.0,Hobsons Bay City Council,Western Metropolitan,5301.0
258,2,u,620000.0,SP,hockingstuart,2016,13.8,1.0,1.0,168.0,Hobsons Bay City Council,Western Metropolitan,5301.0
259,2,u,447000.0,S,Burnham,2016,13.8,1.0,1.0,137.0,Hobsons Bay City Council,Western Metropolitan,5301.0
